orgcode,address,latitude,longitude
440003,"180 Colonel Bell Drive, Brockton, MA 02301",42.09664822,-71.03944302
440002,"45 Quincy Street, Brockton, MA 02302",42.09379904,-70.98941714
440410,"108 Oak Street, Brockton, MA 02301",42.10312173,-71.02941893
440078,"125 Oak Street, Brockton, MA 02301",42.10453415,-71.03213501
440415,"105 Keith Ave Ext, Brockton, MA 02301",42.05983356,-71.02127172
440420,"271 West St, Brockton, MA 02301",42.08000913,-71.04433
4570205,"94 Horace, East Boston, MA 02128",42.38278198,-71.01629639
4430205,"150 American Legion Highway, Boston, MA 02124",42.29512787,-71.09182739
4280305,"190 Cummins Highway, Roslindale, MA 02131",42.28187561,-71.12200165
450005,"1 Central Street, Brookfield, MA 01506",42.21502349,-72.1024105
460001,"115 Greenough Street, Room 109B, Brookline, MA 02445",42.33315277,-71.12924957
460002,"194 Grove Street, Chestnut Hill, MA 02467",42.3025589,-71.15148163
460505,"115 Greenough Street, Brookline, MA 02445",42.33315277,-71.12924957
460005,"205 Beverly Rd, Chestnut Hill, MA 02467",42.30340958,-71.15878296
460015,"345 Harvard Street, Brookline, MA 02446",42.34480286,-71.12371063
460025,"100 Eliot Street, Chestnut Hill, MA 02467",42.32782364,-71.14818573
460045,"50 Druce Street, Brookline, MA 02445",42.33416748,-71.14177704
460030,"27 Francis Street, Brookline, MA 02446",42.33921051,-71.11407471
460020,"64 Westbourne Terrace, Brookline, MA 02446",42.34128445,-71.13626741
460040,"50 School Street, Brookline, MA 02446",42.33504486,-71.12078857
460060,"599 Brookline Avenue, Brookline, MA 02445",42.33356908,-71.11302137
460035,"19 Kennard Rd, Brookline, MA 02445",42.32839966,-71.12905884
480505,"123 Cambridge Street, Burlington, MA 01803",42.49682617,-71.19875336
480007,"1 Fox Hill Rd, Burlington, MA 01803",42.51765512,-71.19681828
480035,"41 Terrace Hall Avenue, Burlington, MA 01803",42.50180435,-71.21539307
480303,"114 Winn Street, Burlington, MA 01803",42.50207901,-71.18117523
480015,"125 Winn Street, Burlington, MA 01803",42.50070758,-71.1825382
