orgcode,address,latitude,longitude
350020,"493 Centre St., Jamaica Plain, MA 02130",42.318153,-71.1124765
350062,"195 Leyden Street, East Boston, MA 02128",42.38860184,-71.00441819
350066,"37 Grove Street, East Boston, MA 02128",,
350072,"302 Walnut Avenue, Roxbury, MA 02119",42.316847,-71.092116
350074,"60 Washington St, Dorchester, MA 02121",42.29732915,-71.071885
350077,"570 American Legion Highway, Roslindale, MA 02131",42.28630805,-71.1078386
350080,"122 Cottage Street, East Boston, MA 02128",42.36868744,-71.03444567
350651,"11 Charles St, Dorchester, MA 02125",,
350008,"108 Babson Street, Mattapan, MA 02126",42.2718676,-71.09202693
350266,"1669 Dorchester Avenue, Dorchester, MA 02122",42.29383356,-71.06215244
350426,"18 Croftland Av  , Dorchester, MA 02124",42.280782,-71.070506
350006,"200 Heath Street, Jamaica Plain, MA 02130",,
350009,"135 Grove Street, East Boston, MA 02128",,
350530,"86 White Street, East Boston, MA 02128",42.380618,-71.034387
350375,"60 Glenmont Road, Brighton, MA 02135",42.34576527,-71.16063724
350088,"71 Pleasant Street, Dorchester, MA 02125",42.31421283,-71.06005957
350094,"612 Metropolitan Avenue, Hyde Park, MA 02136",42.26519695,-71.11739497
350096,"16 Charter Street, Boston, MA 02113",42.36631167,-71.05346067
350100,"164 School Street, Roxbury, MA 02119",42.31676702,-71.10134417
350522,"95 G. Street, South Boston Education Complex, South Boston, MA 02127",,
350540,"174 Ipswich Street, Boston, MA 02215",42.34677945,-71.094952
350116,"95 Needham Road, Hyde Park, MA 02136",42.24250091,-71.12340571
350326,"30 Athol Street, Allston, MA 02134",42.36075595,-71.13397369
350122,"450 Poplar Street, Roslindale, MA 02131",42.2860244,-71.1287295
350543,"80 School St, Roxbury, MA 02119",42.314118,-71.098987
350200,"50 Bunker Hill Street, Charlestown, MA 02129",42.383117,-71.0713355
350010,"263 Blue Hill Avenue, Roxbury , MA 02119",42.315148,-71.078648
350135,"40 Gordon Avenue, Hyde Park, MA 02136",42.25660185,-71.12692624
350015,"160 Harrishof Street, Roxbury, MA 02119",42.3176274,-71.0916523
350377,"131 Walnut Avenue, Roxbury, MA 02119",42.319213,-71.0902379
350750,"40 Armington  Street, Allston, MA 02134",42.35227803,-71.1382114
350141,"33 Trenton Street, East Boston, MA 02128",42.37817252,-71.03811136
350013,"40 Armington Street, Allston, MA 02134",42.35227803,-71.1382114
