"grade","latlong","longitude","latitude","2005","2010","2015","stu_2015_2010","stu_2015_2005","stu_2015_2010_abs","stu_2015_2005_abs","name","address"
0,"42.281 -71.086","-71.086","42.281",0,0,54,54,54,54,54,"Boston - Pauline Agassiz Shaw Elementary School","429 Norfolk Street, Dorchester, MA 02124"
0,"42.281 -71.093","-71.093","42.281",24,53,43,-10,19,10,19,"Boston - Solomon Lewenberg Middle","20 Outlook Rd, Mattapan, MA 02126"
0,"42.281 -71.122","-71.122","42.281",0,64,60,-4,60,4,60,"Edward Brooke Charter - Edward Brooke Charter School","190 Cummins Highway, Roslindale, MA 02131"
0,"42.281 -71.141","-71.141","42.281",24,22,24,2,0,2,0,"Boston - Mozart","236 Beech Street, Roslindale, MA 02131"
0,"42.282 -71.086","-71.086","42.282",45,0,0,0,-45,0,45,"Boston - Pauline Agassiz Shaw","429 Norfolk St, Dorchester, MA 02124"
0,"42.282 -71.158","-71.158","42.282",52,50,42,-8,-10,8,10,"Boston - Lyndon","20 Mt. Vernon Street, West Roxbury, MA 02132"
0,"42.285 -71.117","-71.117","42.285",26,25,31,6,5,6,5,"Boston - John D Philbrick","40 Philbrick Street, Roslindale, MA 02131"
0,"42.286 -71.053","-71.053","42.286",21,23,43,20,22,20,22,"Boston - Thomas J Kenny","19 Oakton Avenue, Dorchester, MA 02122"
0,"42.286 -71.072","-71.072","42.286",82,84,78,-6,-4,6,4,"Boston - Emily A Fifield","25 Dunbar Ave, Dorchester, MA 02124"
0,"42.286 -71.107","-71.107","42.286",50,43,46,3,-4,3,4,"Boston - Dennis C Haley","570 American Legion Highway, Roslindale, MA 02131"
0,"42.286 -71.126","-71.126","42.286",74,78,96,18,22,18,22,"Boston - Charles Sumner","15 Basile Street, Roslindale, MA 02131"
0,"42.292 -71.080","-71.080","42.292",41,48,53,5,12,5,12,"Boston - Joseph Lee","155 Talbot Avenue, Dorchester, MA 02124"
