"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2"
"BOSTON - PAULINE AGASSIZ SHAW",350270,"2000","10",-1,,"429 Norfolk St, Dorchester, MA 02124",42.282101,-71.086933,2124,TRUE,FALSE,FALSE,TRUE
"BOSTON - RAFAEL HERNANDEZ",350691,"2000","41",-1,,"61 School Street, Roxbury, MA 02119",42.31377706,-71.09818339,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - SAMUEL W MASON",350304,"2000","22",-1,,"150 Norfolk Avenue, Roxbury, MA 02119",42.32642703,-71.07100323,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - SARAH GREENWOOD",350308,"2000","26",-1,,"189 Glenway Street, Dorchester, MA 02121",42.29650879,-71.08069611,2121,TRUE,FALSE,FALSE,TRUE
"BOSTON - WARREN-PRESCOTT",350346,"2000","2",-1,,"50 School Street, Charlestown, MA 02129",42.37807833,-71.06417768,2129,TRUE,FALSE,FALSE,TRUE
"BOSTON - WILLIAM MONROE TROTTER",350370,"2000","6",-1,,"135 Humboldt Avenue, Dorchester, MA 02121",42.31533542,-71.08781531,2121,TRUE,FALSE,FALSE,TRUE
"BOSTON - WINSHIP ELEMENTARY",350374,"2000","33",-1,,"54 Dighton Street, Brighton, MA 02135",42.34754004,-71.15443468,2135,TRUE,FALSE,FALSE,TRUE
"BOSTON - YOUNG ACHIEVERS",350380,"2000","39",-1,,"20 Outlook Road, Mattapan, MA 02126",42.28198349,-71.09399311,2126,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - AGASSIZ",350007,"2001","32",-1,,"20 Child St, Jamaica Plain, MA 02130",42.3073176,-71.1144849,2130,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - ALEXANDER HAMILTON",350011,"2001","1",-1,,"198 Strathmore Rd, Brighton, MA 02135",42.3400691,-71.1545111,2135,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - BLACKSTONE",350390,"2001","35",-1,,"380 Shawmut Avenue, Boston, MA 02118",42.3402746,-71.07350707,2118,TRUE,FALSE,FALSE,TRUE
"BOSTON                         - BLUE HILL AVE ECC",350010,"2001","62",-1,,"263 Blue Hill Avenue, Roxbury , MA 02119",42.31538169,-71.07848391,2119,TRUE,FALSE,FALSE,TRUE
